date,location_name,day_length,sunrise,sunset,daily_increase,total_increase,reference_date
2026-06-29,Grua,18:52:00,2026-06-29T03:54+02:00,2026-06-29T22:46+02:00,00:00:00,00:00:00,2026-06-29
2026-07-06,Grua,18:38:00,2026-07-06T04:02+02:00,2026-07-06T22:40+02:00,00:00:00,00:00:00,2026-07-06
2026-07-13,Grua,18:16:00,2026-07-13T04:14+02:00,2026-07-13T22:30+02:00,00:00:00,00:00:00,2026-07-13
2026-07-20,Grua,17:49:00,2026-07-20T04:28+02:00,2026-07-20T22:17+02:00,00:00:00,00:00:00,2026-07-20
2026-07-27,Grua,17:17:00,2026-07-27T04:44+02:00,2026-07-27T22:01+02:00,00:00:00,00:00:00,2026-07-27
2026-08-03,Grua,16:44:00,2026-08-03T05:00+02:00,2026-08-03T21:44+02:00,00:00:00,00:00:00,2026-08-03
2026-08-10,Grua,16:08:00,2026-08-10T05:17+02:00,2026-08-10T21:25+02:00,00:00:00,00:00:00,2026-08-10
2026-08-17,Grua,15:31:00,2026-08-17T05:35+02:00,2026-08-17T21:06+02:00,00:00:00,00:00:00,2026-08-17
2026-08-24,Grua,14:53:00,2026-08-24T05:52+02:00,2026-08-24T20:45+02:00,00:00:00,00:00:00,2026-08-24
2026-08-31,Grua,14:16:00,2026-08-31T06:08+02:00,2026-08-31T20:24+02:00,00:00:00,00:00:00,2026-08-31
2026-01-05,Oslo,06:14:00,2026-01-05T09:15+01:00,2026-01-05T15:29+01:00,00:00:00,00:00:00,2026-01-05
2026-01-12,Oslo,06:34:00,2026-01-12T09:08+01:00,2026-01-12T15:42+01:00,00:00:00,00:00:00,2026-01-12
2026-01-19,Oslo,07:01:00,2026-01-19T08:57+01:00,2026-01-19T15:58+01:00,00:00:00,00:00:00,2026-01-19
2026-01-26,Oslo,07:32:00,2026-01-26T08:43+01:00,2026-01-26T16:15+01:00,00:00:00,00:00:00,2026-01-26
2026-02-02,Oslo,08:06:00,2026-02-02T08:28+01:00,2026-02-02T16:34+01:00,00:00:00,00:00:00,2026-02-02
2026-02-09,Oslo,08:42:00,2026-02-09T08:10+01:00,2026-02-09T16:52+01:00,00:00:00,00:00:00,2026-02-09
2026-02-16,Oslo,09:18:00,2026-02-16T07:52+01:00,2026-02-16T17:10+01:00,00:00:00,00:00:00,2026-02-16
2026-02-23,Oslo,09:57:00,2026-02-23T07:32+01:00,2026-02-23T17:29+01:00,00:00:00,00:00:00,2026-02-23
2026-03-02,Oslo,10:34:00,2026-03-02T07:12+01:00,2026-03-02T17:46+01:00,00:00:00,00:00:00,2026-03-02
2026-03-09,Oslo,11:13:00,2026-03-09T06:51+01:00,2026-03-09T18:04+01:00,00:00:00,00:00:00,2026-03-09
2026-03-16,Oslo,11:50:00,2026-03-16T06:31+01:00,2026-03-16T18:21+01:00,00:00:00,00:00:00,2026-03-16
2026-03-23,Oslo,12:29:00,2026-03-23T06:09+01:00,2026-03-23T18:38+01:00,00:00:00,00:00:00,2026-03-23
2026-03-30,Oslo,13:07:00,2026-03-30T06:48+02:00,2026-03-30T19:55+02:00,00:00:00,00:00:00,2026-03-30
2026-04-06,Oslo,13:45:00,2026-04-06T06:27+02:00,2026-04-06T20:12+02:00,00:00:00,00:00:00,2026-04-06
2026-04-13,Oslo,14:23:00,2026-04-13T06:06+02:00,2026-04-13T20:29+02:00,00:00:00,00:00:00,2026-04-13
2026-04-20,Oslo,15:01:00,2026-04-20T05:46+02:00,2026-04-20T20:47+02:00,00:00:00,00:00:00,2026-04-20
